root@6c7aaced2e68:/app/langcodes# nano langcodes/__init__.py; tmux wait -S done
bash: nano: command not found
root@6c7aaced2e68:/app/langcodes# C-_  # This will undo any changes if we make a mistake while editing.
bash: C-_: command not found
root@6c7aaced2e68:/app/langcodes# def __hash__(self) -> int:
bash: syntax error near unexpected token `('
root@6c7aaced2e68:/app/langcodes#     return hash(self._str_tag)
bash: syntax error near unexpected token `('
root@6c7aaced2e68:/app/langcodes#
root@6c7aaced2e68:/app/langcodes# C-x
bash: C-x: command not found
root@6c7aaced2e68:/app/langcodes# y
bash: y: command not found
root@6c7aaced2e68:/app/langcodes# python3 -c "import pickle; from langcodes import Language; print(hash(Language.get('en'))); tmux wait -S done
> C-c
> vi langcodes/__init__.py; tmux wait -S done
> pkill python3; tmux wait -S done
> exit; tmux wait -S done
> docker stop 6c7aaced2e68; tmux wait -S done
> exit; tmux wait -S done
> docker ps -a; tmux wait -S done
> docker kill 6c7aaced2e68; tmux wait -S done
> docker ps -a; tmux wait -S done
> docker rm -f 6c7aaced2e68; tmux wait -S done
> systemctl status docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
> sudo systemctl stop docker; tmux wait -S done
>
